Lead Stage,Reason Not A Fit - Post-DC,Bottom Line Context,Engagement Model,Sales Strategy,Additional Info,Attendees,Was Pre DC ICP bucket correct,Budget,Authority,Need,Timeline,Accounts Annual Potential,Service Line
Opportunity,,"Joe Troiano at MedAxis Diagnostics confirmed they must replace a brittle RIS/PACS patchwork with a unified outpatient ERP covering scheduling, prior auth, billing, and multi-site reporting across 11 imaging centers. MedAxis Diagnostics has budget holder alignment and wants a fixed-scope phase one before year-end go-live pressure from their payer contracts.",Fixed Cost,"Send NDA, healthcare ERP deck, and two diagnostic-network references today. Request current interface inventory and schedule a technical workshop with their Director of Technical Support to validate HL7/FHIR scope before pricing phase one.",CFO joiner requested for proposal review next week.,"Saad
Moazzam
Shoaib",Yes,50-100K,Yes,"Custom healthcare ERP unifying scheduling, billing, referrals, and imaging workflows for MedAxis Diagnostics.",30-60 days,High Potential,Software Engineering
Opportunity,,"Jasmine Okafor at Vellora Beauty Co. wants a custom B2C commerce layer with subscription management, shade-matching quiz data, and ERP-backed inventory across DTC and Sephora wholesale channels. Vellora Beauty Co. validated creative direction and asked for a storefront POC before committing backend scope.",Fixed Cost,"Share UK beauty commerce case study, subscription architecture one-pager, and schedule a design review with their growth lead. Position phase-one storefront rebuild under fixed cost, phase-two OMS/ERP as follow-on SOW.",Sample PDP mock requested by Friday.,"Amina
Sahar
Natalia",Yes,10-50K,Yes,B2C platform and subscription billing with downstream ERP integration for Vellora Beauty Co.,Less than 30 days,Medium Potential,Design UI/UX
Follow-up,,"Priya Sundaram at VeritasShield Cyber Defense is scoping an internal PSA/ERP for ticket intake, SLA tracking, client billing, and SOC shift scheduling. VeritasShield Cyber Defense has strong need but wants comparison against their in-house React prototype before selecting a build partner.",TnM,Send MSSP ERP walkthrough video and offer a 2-week discovery sprint under TnM to map entities against their existing API layer. Book follow-up with CTO once they share redacted schema diagrams.,Internal build vs buy still undecided.,"Moazzam
Saad",Yes,10-50K,Partial,"MSSP operations ERP with PSA, billing, and SOC workflow modules for VeritasShield Cyber Defense.",30-60 days,Medium Potential,Software Engineering
Opportunity,,Troup Miller at Aetherline Analytics needs a governed natural-language query layer on Databricks Unity Catalog that avoids hallucinations and limits manual prompt engineering. Aetherline Analytics has active client pilots and wants tkxel to co-build the interface while their data team stays focused on pipeline work.,TnM,"Share GenAI guardrails brief and Databricks reference architecture. Propose TnM discovery followed by fixed MVP for one catalog domain, then expansion SOW.",Legal review on data residency in progress.,"Shoaib
Vikram",Yes,50-100K,Yes,NL query interface on Unity Catalog with accuracy controls for Aetherline Analytics client workspaces.,30-60 days,High Potential,Software Engineering
Follow-up,,"Brian Wynne at WardenWatch Surveillance acknowledged chronic pain from disconnected guard scheduling, billing, and incident reporting tools but paused deep scoping until a new operations manager starts. WardenWatch Surveillance remains interested in a unified security-operations ERP once staffing stabilizes.",Fixed Cost,Send condensed ERP roadmap and security-ops case study; schedule follow-up 10 days after their ops hire start date. Offer lightweight process mapping session under fixed micro-SOW.,Ops manager start date: June 18.,"Saad
Moazzam",Partial,10-50K,Partial,"Security operations ERP for scheduling, payroll, billing, and incident logs at WardenWatch Surveillance.",60+ days,Low Potential,Software Engineering
Opportunity,,"Amin Visram at NovaCart Marketplace needs to graduate from Shopify Plus plus bolt-ons to a custom B2C platform tying catalog, multi-warehouse fulfillment, and subscription club billing. NovaCart Marketplace confirmed executive sponsorship and wants a phased proposal separating storefront from OMS/ERP.",Fixed Cost,"Deliver commerce maturity assessment, three reference sites, and fixed-cost phase-one proposal for catalog + checkout. Line up technical deep dive on warehouse API integrations.",Wholesale channel requirements doc incoming.,"Amina
Moazzam
Saad",Yes,100K+,Yes,Custom B2C commerce and ERP integration for NovaCart Marketplace multi-channel retail.,30-60 days,High Potential,Software Engineering
Follow-up,,"Alan Giagnocavo at Pinegate Academic Publishing wants ERP modernization for royalties, subscriptions, and Power BI reporting atop their LMS and WordPress stack. Pinegate Academic Publishing asked for a written approach comparing lift-and-shift vs incremental module replacement before approving external spend.",TnM,"Send publishing ERP outline, Power BI samples, and TnM discovery option. Follow up after their board curriculum committee meeting on June 12.",Board review scheduled June 12.,"Shoaib
Saad",Yes,50-100K,Partial,"Publishing ERP for orders, royalties, subscriptions, and BI for Pinegate Academic Publishing.",60+ days,Medium Potential,Software Engineering
Nurture,,Wesley Chen at Halberd Threat Intelligence is exploring a client-facing threat-intel portal but funding is tied to a Q3 product launch. Halberd Threat Intelligence liked tkxel's SaaS delivery model yet needs another quarter of revenue proof before committing build budget.,TnM,Add to nurture cadence with quarterly check-in; share portal MVP teardown and lightweight TnM advisory hours. Re-engage after their August partner summit.,Budget gate tied to Q3 launch metrics.,"Moazzam
Saad",Yes,Less than 10K,Yes,B2B SaaS client portal for curated threat feeds at Halberd Threat Intelligence.,60+ days,Entry-Level Potential,Software Engineering
Follow-up,,"Marcus Delaney at Crestview Supply Chain Co. described warehouse WMS gaps, manual freight reconciliation, and duplicate master data between NetSuite and floor scanners. Crestview Supply Chain Co. wants a partner assessment before RFPing a unified logistics ERP.",TnM,Send supply-chain ERP checklist and propose two-week TnM process audit. Request EDI and WMS interface list for follow-up pricing.,RFP timeline slips to July if audit delayed.,"Saad
Shoaib",Yes,50-100K,Partial,"Logistics ERP integrating WMS, freight billing, and master data for Crestview Supply Chain Co.",30-60 days,Medium Potential,Software Engineering
Follow-up,,"Alison Hartwell at Meridian Legal Tech LLC needs matter-centric billing, trust accounting, and CRM sync without breaking Clio integrations used by paralegals. Meridian Legal Tech LLC requested tkxel materials to compare against a local dev shop quote.",Fixed Cost,Share legal ops case study and fixed-cost phase-one for billing workflow automation. Schedule follow-up with managing partner and IT after they receive competitor proposal.,Competitive quote due June 20.,"Moazzam
Amina",Yes,10-50K,Yes,Legal practice ERP extensions and trust accounting automation for Meridian Legal Tech LLC.,30-60 days,Low Potential,Software Engineering
Follow-up,,"Diego Alvarez at FleetPulse Logistics highlighted telematics data silos, manual dispatch boards, and revenue leakage on accessorial charges. FleetPulse Logistics wants tkxel to validate integration effort with their existing Node services before signing.",TnM,Provide telematics integration brief and TnM discovery workshop offer. Follow up once API credentials are approved by their security team.,Security review pending for API keys.,"Shoaib
Saad",Partial,10-50K,Partial,Dispatch and billing ERP connecting telematics and TMS data for FleetPulse Logistics.,60+ days,Medium Potential,Software Engineering
Follow-up,,"Renee Patterson at Oakbridge Insurance Platform is consolidating policy admin, commissions, and producer onboarding tools spread across legacy .NET modules. Oakbridge Insurance Platform needs a readout comparing rebuild vs wrap-and-extend before steering committee approval.",Fixed Cost,Send insurance platform modernization deck and fixed-cost discovery package. Book executive readout with CIO and compliance lead.,Steering committee meets June 25.,"Moazzam
Saad
Shoaib",Yes,100K+,Partial,Insurance policy admin and commissions ERP for Oakbridge Insurance Platform.,60+ days,High Potential,Software Engineering
Follow-up,,"Tyler Nguyen at Synthwave Media Group wants rights metadata, production scheduling, and royalty payouts in one system instead of Airtable and QuickBooks. Synthwave Media Group is enthusiastic but needs clearer fixed-cost entry point given boutique budget.",Fixed Cost,Offer slim fixed-cost MVP for rights + invoicing module; share media ops testimonial. Follow up after their Q2 slate funding closes.,Q2 slate financing in final docs.,"Amina
Saad",Yes,Less than 10K,Yes,"Media operations ERP for rights, production schedules, and royalties at Synthwave Media Group.",30-60 days,Entry-Level Potential,Software Engineering
Opportunity,,"Karen Whitfield at Copperfield Manufacturing ERP initiative targets shop-floor MES hooks, inventory accuracy, and ISO audit trails currently trapped in spreadsheets. Copperfield Manufacturing ERP stakeholders aligned on phase-one scope and asked for proposal within two weeks.",Fixed Cost,"Send manufacturing ERP blueprint, ISO audit trail examples, and fixed SOW draft. Schedule shop-floor shadow session with plant IT.",Plant walkthrough booked June 17.,"Saad
Moazzam
Shoaib",Yes,100K+,Yes,Manufacturing ERP with MES integration and quality audit workflows for Copperfield Manufacturing ERP.,Less than 30 days,High Potential,Software Engineering
Opportunity,,"Dr. Amara Singh at RelayHealth Patient Engagement validated need for a patient portal, appointment orchestration, and CRM tied to their EHR APIs with HIPAA controls. RelayHealth Patient Engagement has steering approval for external build and wants tkxel as primary delivery partner.",Fixed Cost,"Send HIPAA delivery pack, portal reference sites, and fixed-cost phase-one SOW. Intro solutions architect for FHIR integration workshop.",Compliance officer joining next call.,"Shoaib
Moazzam",Yes,50-100K,Yes,Patient engagement portal and scheduling ERP integrated to EHR for RelayHealth Patient Engagement.,30-60 days,Medium Potential,Software Engineering
Nurture,,Jonah Pierce at Gridlock Energy Analytics is interested in a client analytics hub but budget is partial until a utility pilot converts. Gridlock Energy Analytics wants tkxel content on energy data products while they finish fundraising conversations.,TnM,Quarterly nurture with analytics case studies; offer small TnM advisory block for architecture review post-pilot.,Utility pilot decision expected August.,"Saad
Moazzam",Partial,Less than 10K,Partial,Energy analytics client portal and reporting ERP for Gridlock Energy Analytics.,60+ days,Entry-Level Potential,Software Engineering
Nurture,,Sofia Marchetti at Harborline Property Management sees value in owner portals and maintenance ERP but is finishing a property-management software renewal. Harborline Property Management asked to reconnect after renewal decision in 45 days.,TnM,Add to 45-day nurture; send property-management ERP one-pager and owner portal demo clip.,Incumbent vendor renewal ends July.,"Amina
Moazzam",Yes,10-50K,Yes,Property management ERP with owner reporting and maintenance workflows for Harborline Property Management.,60+ days,Low Potential,Software Engineering
Opportunity,,"Ethan Brooks at Quantix Retail Labs wants experiment tracking, sample inventory, and retailer chargeback reconciliation in a single lab operations platform. Quantix Retail Labs confirmed fast-track timeline for a pilot brand and requested tkxel proposal this month.",Fixed Cost,Deliver retail lab ERP scope doc and fixed MVP pricing; align data model workshop with their analytics lead.,Pilot brand LOI signed.,"Saad
Shoaib
Amina",Yes,10-50K,Yes,"Retail lab operations ERP for samples, experiments, and chargebacks at Quantix Retail Labs.",Less than 30 days,Medium Potential,Software Engineering
Not a fit,Budget not approved this fiscal year; founder prioritizing field hardware over software.,Laura Henning at BlueStem AgTech Solutions acknowledged ERP need for coop inventory and seasonal labor tracking but stated no approved software budget until after harvest season fundraising. BlueStem AgTech Solutions is not a near-term opportunity without grant funding.,TnM,"Politely close active pipeline; add to long-term nurture only if grant funding lands. Send lightweight agritech article share, no proposal.",Revisit after September grant cycle.,Moazzam,No,No,Yes,Ag operations ERP for inventory and seasonal labor at BlueStem AgTech Solutions.,60+ days,Entry-Level Potential,Software Engineering
Not a fit,Seeking staff augmentation only; no interest in tkxel fixed-cost product delivery model.,"Patrick O'Neill at Vanguard Compliance Systems confirmed they only want hourly React developers embedded in their team, not a tkxel-led ERP build. Vanguard Compliance Systems is misaligned with tkxel engagement models for compliance workflow software.",TnM,Decline staff-aug pursuit; document mismatch and remove from active forecast. Offer referral to staff-aug partner if requested.,Explicit preference for staff aug only.,Saad,No,Less than 10K,No,Compliance workflow tooling for Vanguard Compliance Systems.,60+ days,Entry-Level Potential,Software Engineering
